Geo,Year,TransitEthanolPropGasoline,TransitBiodieselPropDiesel,TransitRngPropCng
Metro,1990,0,0,0
Metro,1995,0,0,0
Metro,2000,0,0,0
Metro,2005,0,0.01,0.005
Metro,2010,0.05,0.05,0.01
Metro,2015,0.05,0.05,0.6
Metro,2020,0.2,0.896,0.9
Metro,2025,0.2,0.99,1
Metro,2030,0.2,0.99,1
Metro,2035,0.2,0.99,1
Metro,2040,0.2,0.99,1
Metro,2045,0.2,0.99,1
Metro,2050,0.2,0.99,1
Bend,1990,0,0,0
Bend,1995,0,0,0
Bend,2000,0,0,0
Bend,2005,0.1,0.01,0.005
Bend,2010,0.1,0.05,0.01
Bend,2015,0.1,0.05,0.6
Bend,2020,0.11,0.07,0.9
Bend,2025,0.11,0.4252,1
Bend,2030,0.11,0.854,1
Bend,2035,0.11,0.8585,1
Bend,2040,0.11,0.8632,1
Bend,2045,0.11,0.8681,1
Bend,2050,0.11,0.8733,1
Corvallis,1990,0,0,0
Corvallis,1995,0,0,0
Corvallis,2000,0,0.2,0
Corvallis,2005,0,0.05,0
Corvallis,2010,0.1,0.05,0
Corvallis,2015,0.1,0.05,0.6
Corvallis,2020,0.11,0.07,0.9
Corvallis,2025,0.11,0.4145,1
Corvallis,2030,0.11,0.8342,1
Corvallis,2035,0.11,0.8414,1
Corvallis,2040,0.11,0.8491,1
Corvallis,2045,0.11,0.8572,1
Corvallis,2050,0.11,0.8655,1
EugeneSpringfield,1990,0,0,0
EugeneSpringfield,1995,0,0,0
EugeneSpringfield,2000,0,0,0
EugeneSpringfield,2005,0.1,0.01,0.005
EugeneSpringfield,2010,0.1,0.05,0.01
EugeneSpringfield,2015,0.1,0.05,0.6
EugeneSpringfield,2020,0.11,0.896,0.9
EugeneSpringfield,2025,0.11,0.99,1
EugeneSpringfield,2030,0.11,0.99,1
EugeneSpringfield,2035,0.11,0.99,1
EugeneSpringfield,2040,0.11,0.99,1
EugeneSpringfield,2045,0.11,0.99,1
EugeneSpringfield,2050,0.11,0.99,1
RogueValley,1990,0,0,0
RogueValley,1995,0,0,0
RogueValley,2000,0,0,0
RogueValley,2005,0.1,0.01,0.005
RogueValley,2010,0.1,0.05,0.01
RogueValley,2015,0.1,0.05,0.6
RogueValley,2020,0.11,0.07,0.9
RogueValley,2025,0.11,0.1507,1
RogueValley,2030,0.11,0.2042,1
RogueValley,2035,0.11,0.1183,1
RogueValley,2040,0.11,0.1142,1
RogueValley,2045,0.11,0.1098,1
RogueValley,2050,0.11,0.1052,1
SalemKeizer,1990,0,0,0
SalemKeizer,1995,0,0,0
SalemKeizer,2000,0,0,0
SalemKeizer,2005,0.1,0.01,0.005
SalemKeizer,2010,0.1,0.05,0.01
SalemKeizer,2015,0.1,0.05,0.6
SalemKeizer,2020,0.11,0.07,0.9
SalemKeizer,2025,0.11,0.12,1
SalemKeizer,2030,0.11,0.1591,1
SalemKeizer,2035,0.11,0.0764,1
SalemKeizer,2040,0.11,0.0753,1
SalemKeizer,2045,0.11,0.074,1
SalemKeizer,2050,0.11,0.0727,1
Albany,1990,0,0,0
Albany,1995,0,0,0
Albany,2000,0,0,0
Albany,2005,0.1,0.01,0.005
Albany,2010,0.1,0.05,0.01
Albany,2015,0.1,0.05,0.6
Albany,2020,0.11,0.07,0.9
Albany,2025,0.11,0.4222,1
Albany,2030,0.11,0.8493,1
Albany,2035,0.11,0.8566,1
Albany,2040,0.11,0.8642,1
Albany,2045,0.11,0.8719,1
Albany,2050,0.11,0.8798,1
GrantsPass,1990,0,0,0
GrantsPass,1995,0,0,0
GrantsPass,2000,0,0,0
GrantsPass,2005,0.1,0.01,0.005
GrantsPass,2010,0.1,0.05,0.01
GrantsPass,2015,0.1,0.05,0.6
GrantsPass,2020,0.11,0.07,0.9
GrantsPass,2025,0.11,0.4599,1
GrantsPass,2030,0.11,0.9213,1
GrantsPass,2035,0.11,0.9244,1
GrantsPass,2040,0.11,0.9276,1
GrantsPass,2045,0.11,0.931,1
GrantsPass,2050,0.11,0.9345,1
None,1990,0,0,0
None,1995,0,0,0
None,2000,0.05,0,0
None,2005,0.1,0.01,0
None,2010,0.1,0.05,0
None,2015,0.1,0.05,0
None,2020,0.1,0.05,0
None,2025,0.1,0.05,0
None,2030,0.1,0.05,0
None,2035,0.1,0.05,0
None,2040,0.1,0.05,0
None,2045,0.1,0.05,0
None,2050,0.1,0.05,0
